year,stream,data_type,count
1995,battle creek,upstream_estimate,66
1996,battle creek,upstream_estimate,35
1997,battle creek,upstream_estimate,107
1998,battle creek,upstream_estimate,178
1999,battle creek,upstream_estimate,73
2000,battle creek,upstream_estimate,78
2001,battle creek,upstream_estimate,111
2001,battle creek,redd_count,25
2001,battle creek,holding_count,119
2002,battle creek,upstream_estimate,222
2002,battle creek,redd_count,51
2002,battle creek,holding_count,644
2003,battle creek,upstream_estimate,221
2003,battle creek,redd_count,61
2003,battle creek,holding_count,3044
2004,battle creek,upstream_estimate,90
2004,battle creek,redd_count,19
2004,battle creek,holding_count,4610
2005,battle creek,upstream_estimate,73
2005,battle creek,redd_count,31
2005,battle creek,holding_count,3123
2006,battle creek,upstream_estimate,221
2006,battle creek,redd_count,81
2006,battle creek,holding_count,337
2007,battle creek,upstream_estimate,291
2007,battle creek,redd_count,85
2007,battle creek,holding_count,217
2008,battle creek,upstream_estimate,105
2008,battle creek,redd_count,29
2008,battle creek,holding_count,48
2009,battle creek,upstream_estimate,194
2009,battle creek,redd_count,61
2009,battle creek,holding_count,66
2010,battle creek,upstream_estimate,174
2010,battle creek,redd_count,49
2010,battle creek,holding_count,44
2011,battle creek,upstream_estimate,159
2011,battle creek,redd_count,36
2011,battle creek,holding_count,56
2012,battle creek,upstream_estimate,799
2012,battle creek,redd_count,171
2012,battle creek,holding_count,475
2013,battle creek,upstream_estimate,608
2013,battle creek,redd_count,79
2013,battle creek,holding_count,380
2014,battle creek,upstream_estimate,429
2014,battle creek,redd_count,78
2014,battle creek,holding_count,146
2015,battle creek,upstream_estimate,181
2015,battle creek,redd_count,17
2015,battle creek,holding_count,59
2016,battle creek,upstream_estimate,180
2016,battle creek,redd_count,25
2016,battle creek,holding_count,86
2017,battle creek,upstream_estimate,30
2017,battle creek,redd_count,4
2017,battle creek,holding_count,5
2018,battle creek,upstream_estimate,82
2018,battle creek,redd_count,21
2018,battle creek,holding_count,35
2019,battle creek,upstream_estimate,47
2019,battle creek,redd_count,20
2019,battle creek,holding_count,16
2020,battle creek,upstream_estimate,47
2021,battle creek,upstream_estimate,233
2001,butte creek,holding_count,3852
2001,butte creek,carcass_estimate,18415
2002,butte creek,holding_count,3909
2002,butte creek,carcass_estimate,12893
2003,butte creek,holding_count,2457
2003,butte creek,carcass_estimate,6063
2004,butte creek,holding_count,2612
2004,butte creek,carcass_estimate,10221
2005,butte creek,holding_count,4685
2005,butte creek,carcass_estimate,16981
2006,butte creek,holding_count,2310
2006,butte creek,carcass_estimate,6296
2007,butte creek,holding_count,2266
2007,butte creek,carcass_estimate,6237
2008,butte creek,holding_count,2022
2008,butte creek,carcass_estimate,10009
2009,butte creek,holding_count,1463
2009,butte creek,carcass_estimate,2561
2010,butte creek,holding_count,730
2010,butte creek,carcass_estimate,1979
2011,butte creek,holding_count,2025
2011,butte creek,carcass_estimate,4859
2012,butte creek,holding_count,590
2012,butte creek,carcass_estimate,16140
2013,butte creek,holding_count,3995
2013,butte creek,carcass_estimate,15886
2014,butte creek,holding_count,1668
2014,butte creek,carcass_estimate,4851
2015,butte creek,upstream_estimate,1950
2015,butte creek,holding_count,725
2015,butte creek,carcass_estimate,413
2016,butte creek,upstream_estimate,4115
2016,butte creek,holding_count,1448
2016,butte creek,carcass_estimate,5371
2017,butte creek,holding_count,552
2017,butte creek,carcass_estimate,515
2018,butte creek,carcass_estimate,2320
2019,butte creek,upstream_estimate,5650
2019,butte creek,carcass_estimate,14679
2020,butte creek,upstream_estimate,2991
2020,butte creek,carcass_estimate,1229
2021,butte creek,upstream_estimate,7813
2021,butte creek,carcass_estimate,1807
2022,butte creek,upstream_estimate,5463
2022,butte creek,carcass_estimate,2900
1995,clear creek,upstream_estimate,2
1998,clear creek,upstream_estimate,47
1999,clear creek,upstream_estimate,35
2000,clear creek,upstream_estimate,9
2000,clear creek,redd_count,8
2001,clear creek,upstream_estimate,0
2001,clear creek,redd_count,66
2002,clear creek,upstream_estimate,66
2002,clear creek,redd_count,107
2003,clear creek,upstream_estimate,25
2003,clear creek,redd_count,41
2004,clear creek,upstream_estimate,98
2004,clear creek,redd_count,37
2005,clear creek,upstream_estimate,69
2005,clear creek,redd_count,69
2006,clear creek,upstream_estimate,77
2006,clear creek,redd_count,73
2007,clear creek,upstream_estimate,194
2007,clear creek,redd_count,49
2008,clear creek,upstream_estimate,200
2008,clear creek,redd_count,65
2008,clear creek,holding_count,632
2009,clear creek,upstream_estimate,120
2009,clear creek,redd_count,114
2009,clear creek,holding_count,260
2010,clear creek,upstream_estimate,21
2010,clear creek,redd_count,40
2010,clear creek,holding_count,150
2011,clear creek,upstream_estimate,8
2011,clear creek,redd_count,42
2011,clear creek,holding_count,89
2012,clear creek,upstream_estimate,68
2012,clear creek,redd_count,40
2012,clear creek,holding_count,298
2013,clear creek,upstream_estimate,659
2013,clear creek,redd_count,135
2013,clear creek,holding_count,2480
2014,clear creek,upstream_estimate,95
2014,clear creek,redd_count,85
2014,clear creek,holding_count,667
2015,clear creek,upstream_estimate,45
2015,clear creek,redd_count,54
2015,clear creek,holding_count,298
2016,clear creek,upstream_estimate,29
2016,clear creek,redd_count,33
2016,clear creek,holding_count,261
2017,clear creek,upstream_estimate,25
2017,clear creek,redd_count,17
2017,clear creek,holding_count,25
2018,clear creek,upstream_estimate,49
2018,clear creek,redd_count,47
2018,clear creek,holding_count,65
2019,clear creek,upstream_estimate,62
2019,clear creek,redd_count,108
2019,clear creek,holding_count,132
2020,clear creek,upstream_estimate,172
2020,clear creek,redd_count,55
2021,clear creek,upstream_estimate,2252
2021,clear creek,redd_count,183
2022,clear creek,redd_count,29
1986,deer creek,holding_count,166
1987,deer creek,holding_count,62
1988,deer creek,holding_count,115
1989,deer creek,holding_count,24
1990,deer creek,holding_count,142
1991,deer creek,holding_count,139
1992,deer creek,holding_count,209
1993,deer creek,holding_count,259
1994,deer creek,holding_count,485
1995,deer creek,holding_count,1295
1996,deer creek,holding_count,614
1997,deer creek,holding_count,466
1998,deer creek,holding_count,1879
1999,deer creek,holding_count,1557
2000,deer creek,holding_count,637
2001,deer creek,holding_count,1622
2002,deer creek,holding_count,2185
2003,deer creek,holding_count,2759
2004,deer creek,holding_count,804
2005,deer creek,holding_count,2239
2006,deer creek,holding_count,2432
2007,deer creek,holding_count,644
2008,deer creek,holding_count,140
2009,deer creek,holding_count,213
2010,deer creek,holding_count,262
2011,deer creek,holding_count,271
2012,deer creek,holding_count,734
2013,deer creek,holding_count,708
2014,deer creek,upstream_estimate,813
2014,deer creek,holding_count,641
2015,deer creek,upstream_estimate,268
2015,deer creek,holding_count,99
2016,deer creek,upstream_estimate,331
2016,deer creek,holding_count,268
2017,deer creek,upstream_estimate,162
2017,deer creek,holding_count,219
2018,deer creek,upstream_estimate,159
2018,deer creek,holding_count,104
2019,deer creek,upstream_estimate,585
2019,deer creek,holding_count,373
2020,deer creek,upstream_estimate,90
2020,deer creek,holding_count,40
2009,feather river,redd_count,238
2010,feather river,redd_count,813
2011,feather river,redd_count,1272
2012,feather river,redd_count,1246
2012,feather river,carcass_estimate,72590
2013,feather river,redd_count,736
2013,feather river,carcass_estimate,146441
2014,feather river,redd_count,655
2014,feather river,carcass_estimate,62034
2015,feather river,redd_count,450
2015,feather river,carcass_estimate,20382
2016,feather river,redd_count,413
2016,feather river,carcass_estimate,38781
2017,feather river,redd_count,939
2017,feather river,carcass_estimate,10536
2018,feather river,redd_count,1908
2018,feather river,carcass_estimate,57369
2019,feather river,redd_count,1590
2019,feather river,carcass_estimate,51967
2020,feather river,redd_count,1893
2020,feather river,carcass_estimate,42969
2021,feather river,carcass_estimate,9688
2022,feather river,carcass_estimate,6573
NA,feather river,redd_count,114
1997,mill creek,redd_count,101
1998,mill creek,redd_count,212
1999,mill creek,redd_count,280
2000,mill creek,redd_count,272
2001,mill creek,redd_count,550
2002,mill creek,redd_count,797
2003,mill creek,redd_count,713
2004,mill creek,redd_count,499
2005,mill creek,redd_count,575
2006,mill creek,redd_count,501
2007,mill creek,redd_count,460
2008,mill creek,redd_count,181
2009,mill creek,redd_count,110
2010,mill creek,redd_count,241
2011,mill creek,redd_count,183
2012,mill creek,redd_count,271
2013,mill creek,redd_count,600
2014,mill creek,upstream_estimate,679
2014,mill creek,redd_count,220
2015,mill creek,upstream_estimate,127
2015,mill creek,redd_count,58
2016,mill creek,upstream_estimate,175
2016,mill creek,redd_count,47
2017,mill creek,upstream_estimate,98
2017,mill creek,redd_count,129
2018,mill creek,upstream_estimate,51
2018,mill creek,redd_count,76
2019,mill creek,upstream_estimate,80
2019,mill creek,redd_count,90
2020,mill creek,upstream_estimate,73
2020,mill creek,redd_count,40
2004,yuba river,upstream_estimate,1618
2005,yuba river,upstream_estimate,5274
2006,yuba river,upstream_estimate,1456
2007,yuba river,upstream_estimate,353
2008,yuba river,upstream_estimate,1320
2009,yuba river,upstream_estimate,2616
2010,yuba river,upstream_estimate,3737
2011,yuba river,upstream_estimate,2360
2011,yuba river,redd_count,70
2012,yuba river,upstream_estimate,2289
2012,yuba river,redd_count,22
2013,yuba river,upstream_estimate,4046
2013,yuba river,redd_count,46
2014,yuba river,upstream_estimate,2021
2014,yuba river,redd_count,32
2014,yuba river,carcass_estimate,2569
2015,yuba river,upstream_estimate,235
2015,yuba river,redd_count,17
2015,yuba river,carcass_estimate,1652
2016,yuba river,redd_count,40
2017,yuba river,redd_count,10
2018,yuba river,upstream_estimate,281
2018,yuba river,redd_count,32
2019,yuba river,redd_count,25
2019,yuba river,carcass_estimate,678
2020,yuba river,upstream_estimate,1337
2020,yuba river,redd_count,47
2020,yuba river,carcass_estimate,395
2021,yuba river,upstream_estimate,1669
